일련번호,차량번호,통과시각,파일경로,CODE,인식타임,경차여부,바닥밝기,유효,선택,숫자번호,번호판영역,촬영정보,번호판밝기,전기차,전기차2,번호판밝기2
,"10가0129","20180901133158377","C:\Img\2018\09\01\133158377S_0129.jpg","01","127",,"75(75)",,"1","100129","(407, 400), W:237, H:67","GigE 631164 / 1/2500S / Gain 70 /FR 52.0",,,,
,"31조0980","20180901134045942","C:\Img\2018\09\01\134045942S_0980.jpg","01","78",,"35(35)",,"1","310980","(555, 394), W:269, H:67","GigE 631164 / 1/3000S / Gain 70 /FR 52.0",,,,
,"55도4814","20180901134506606","C:\Img\2018\09\01\134506606S_4814.jpg","01","65",,"48(48)",,"1","554814","(533, 414), W:257, H:65","GigE 631164 / 1/2500S / Gain 70 /FR 52.0",,,,
,"97너7859","20180901134932487","C:\Img\2018\09\01\134932487S_7859.jpg","01","88",,"74(74)",,"1","977859","(607, 324), W:281, H:69","GigE 631164 / 1/2500S / Gain 70 /FR 52.0",,,,
,"29부2668","20180901135844142","C:\Img\2018\09\01\135844142S_2668.jpg","01","109",,"25(25)",,"1","292668","(471, 496), W:257, H:71","GigE 631164 / 1/3000S / Gain 70 /FR 52.0",,,,
,"38부2729","20180901140940124","C:\Img\2018\09\01\140940124S_2729.jpg","01","114",,"39(39)",,"1","382729","(457, 504), W:249, H:69","GigE 631164 / 1/2500S / Gain 70 /FR 52.0",,,,
,"47버9385","20180901141019995","C:\Img\2018\09\01\141019995S_9385.jpg","01","125",,"41(41)",,"1","479385","(547, 504), W:191, H:65","GigE 631164 / 1/2000S / Gain 70 /FR 52.0",,,,
,"34무6361","20180901141817524","C:\Img\2018\09\01\141817524S_6361.jpg","01","115",,"109(109)",,"1","346361","(535, 420), W:247, H:67","GigE 631164 / 1/2000S / Gain 70 /FR 52.0",,,,
,"39마7004","20180901143750973","C:\Img\2018\09\01\143750973S_7004.jpg","01","80",,"56(56)",,"1","397004","(559, 400), W:265, H:69","GigE 631164 / 1/2500S / Gain 70 /FR 52.0",,,,
,"65호2738","20180901150109486","C:\Img\2018\09\01\150109486S_2738.jpg","01","72",,"42(42)",,"1","652738","(561, 462), W:263, H:71","GigE 631164 / 1/2500S / Gain 70 /FR 52.0",,,,
,"05고7611","20180901150843268","C:\Img\2018\09\01\150843268S_7611.jpg","01","104",,"43(43)",,"1","057611","(483, 426), W:239, H:67","GigE 631164 / 1/2500S / Gain 70 /FR 52.0",,,,
,"33가8132","20180901152418994","C:\Img\2018\09\01\152418994S_8132.jpg","01","61",,"37(37)",,"1","338132","(681, 411), W:205, H:102","GigE 631164 / 1/2500S / Gain 70 /FR 52.0",,,,
,"30두5065","20180901152644253","C:\Img\2018\09\01\152644253S_5065.jpg","01","179",,"38(38)",,"1","305065","(609, 398), W:273, H:67","GigE 631164 / 1/2000S / Gain 70 /FR 52.0",,,,
,"55호8732","20180901152704436","C:\Img\2018\09\01\152704436S_8732.jpg","01","66",,"43(43)",,"1","558732","(595, 388), W:269, H:69","GigE 631164 / 1/1500S / Gain 70 /FR 52.0",,,,
,"52오0105","20180901153842764","C:\Img\2018\09\01\153842764S_0105.jpg","01","48",,"68(68)",,"1","520105","(591, 428), W:267, H:67","GigE 631164 / 1/1500S / Gain 70 /FR 52.0",,,,
,"25너0803","20180901154725542","C:\Img\2018\09\01\154725542S_0803.jpg","01","49",,"44(44)",,"1","250803","(567, 462), W:273, H:65","GigE 631164 / 1/2000S / Gain 70 /FR 52.0",,,,
,"78러6485","20180901161650871","C:\Img\2018\09\01\161650871S_6485.jpg","01","172",,"30(30)",,"1","786485","(423, 470), W:257, H:69","GigE 631164 / 1/2000S / Gain 70 /FR 52.0",,,,
,"67무3884","20180901161908495","C:\Img\2018\09\01\161908495S_3884.jpg","01","63",,"37(37)",,"1","673884","(535, 472), W:261, H:69","GigE 631164 / 1/1500S / Gain 70 /FR 52.0",,,,
,"18나9277","20180901162242351","C:\Img\2018\09\01\162242351S_9277.jpg","01","75",,"54(54)",,"1","189277","(535, 424), W:259, H:67","GigE 631164 / 1/1000S / Gain 70 /FR 52.0",,,,
,"12너5552","20180901162308235","C:\Img\2018\09\01\162308235S_5552.jpg","01","103",,"53(53)",,"1","125552","(607, 424), W:257, H:67","GigE 631164 / 1/1000S / Gain 70 /FR 52.0",,,,
,"29라8925","20180901162554080","C:\Img\2018\09\01\162554080S_8925.jpg","01","110",,"52(52)",,"1","298925","(517, 438), W:253, H:67","GigE 631164 / 1/1000S / Gain 70 /FR 52.0",,,,
,"61수5652","20180901164536007","C:\Img\2018\09\01\164536007S_5652.jpg","01","66",,"58(58)",,"1","615652","(473, 446), W:249, H:65","GigE 631164 / 1/1000S / Gain 70 /FR 52.0",,,,
,"31무8032","20180901164648221","C:\Img\2018\09\01\164648221S_8032.jpg","01","155",,"61(61)",,"1","318032","(579, 444), W:257, H:67","GigE 631164 / 1/1000S / Gain 70 /FR 52.0",,,,
,"49로2052","20180901164700758","C:\Img\2018\09\01\164700758S_2052.jpg","01","104",,"59(39)",,"1","492052","(483, 386), W:255, H:65","GigE 631164 / 1/1500S / Gain 70 /FR 52.0",,,,
,"57저2395","20180901165147329","C:\Img\2018\09\01\165147329S_2395.jpg","01","79",,"46(46)",,"1","572395","(597, 458), W:259, H:65","GigE 631164 / 1/1000S / Gain 70 /FR 52.0",,,,
,"42고8443","20180901165702736","C:\Img\2018\09\01\165702736S_8443.jpg","01","118",,"44(44)",,"1","428443","(635, 360), W:269, H:65","GigE 631164 / 1/1000S / Gain 70 /FR 52.0",,,,
,"63다6825","20180901171436502","C:\Img\2018\09\01\171436502S_6825.jpg","01","69",,"49(49)",,"1","636825","(559, 350), W:261, H:65","GigE 631164 / 1/1000S / Gain 70 /FR 52.0",,,,
,"38버8316","20180901172709800","C:\Img\2018\09\01\172709800S_8316.jpg","01","109",,"39(39)",,"1","388316","(431, 424), W:251, H:69","GigE 631164 / 1/1000S / Gain 70 /FR 52.0",,,,
,"18하9702","20180901172952132","C:\Img\2018\09\01\172952132S_9702.jpg","01","87",,"65(65)",,"1","189702","(579, 442), W:255, H:65","GigE 631164 / 1/500S / Gain 70 /FR 52.0",,,,
,"13러7782","20180901173132053","C:\Img\2018\09\01\173132053S_7782.jpg","01","70",,"39(39)",,"1","137782","(555, 434), W:259, H:67","GigE 631164 / 1/1000S / Gain 70 /FR 52.0",,,,
,"33버8797","20180901174529126","C:\Img\2018\09\01\174529126S_8797.jpg","01","98",,"60(60)",,"1","338797","(587, 492), W:199, H:69","GigE 631164 / 1/500S / Gain 70 /FR 52.0",,,,
,"45거9737","20180901175205664","C:\Img\2018\09\01\175205664S_9737.jpg","01","71",,"54(54)",,"1","459737","(535, 442), W:263, H:69","GigE 631164 / 1/500S / Gain 70 /FR 52.0",,,,
,"65거8266","20180901175307454","C:\Img\2018\09\01\175307454S_8266.jpg","01","66",,"58(58)",,"1","658266","(593, 418), W:257, H:69","GigE 631164 / 1/500S / Gain 70 /FR 52.0",,,,
,"39루2636","20180901182354314","C:\Img\2018\09\01\182354314S_2636.jpg","01","78",,"55(55)",,"1","392636","(665, 444), W:273, H:67","GigE 631164 / 1/500S / Gain 70 /FR 52.0",,,,
,"45거9737","20180901183746185","C:\Img\2018\09\01\183746185S_9737.jpg","01","90",,"46(46)",,"1","459737","(431, 438), W:253, H:67","GigE 631164 / 1/500S / Gain 70 /FR 52.0",,,,
,"05가5469","20180901185240606","C:\Img\2018\09\01\185240606S_5469.jpg","01","51",,"45(44)",,"1","055469","(417, 632), W:269, H:81","GigE 631164 / 1/500S / Gain 70 /FR 52.0",,,,
,"31수7901","20180901185524034","C:\Img\2018\09\01\185524034S_7901.jpg","01","75",,"44(44)",,"1","317901","(659, 428), W:253, H:67","GigE 631164 / 1/500S / Gain 70 /FR 52.0",,,,
,"18서0655","20180901191718793","C:\Img\2018\09\01\191718793S_0655.jpg","01","80",,"46(45)",,"1","180655","(281, 542), W:269, H:79","GigE 631164 / 1/500S / Gain 70 /FR 52.0",,,,
,"33버6323","20180901191939974","C:\Img\2018\09\01\191939974S_6323.jpg","01","78",,"45(44)",,"1","336323","(275, 746), W:229, H:113","GigE 631164 / 1/500S / Gain 70 /FR 52.0",,,,
,"41어2177","20180901192041585","C:\Img\2018\09\01\192041585S_2177.jpg","01","115",,"45(43)",,"1","412177","(339, 540), W:267, H:75","GigE 631164 / 1/500S / Gain 70 /FR 52.0",,,,
,"36고6599","20180901194713744","C:\Img\2018\09\01\194713744S_6599.jpg","01","79",,"44(43)",,"1","366599","(353, 532), W:283, H:69","GigE 631164 / 1/500S / Gain 70 /FR 52.0",,,,
,"19너4825","20180901195120037","C:\Img\2018\09\01\195120037S_4825.jpg","01","57",,"46(44)",,"1","194825","(555, 566), W:281, H:75","GigE 631164 / 1/500S / Gain 70 /FR 52.0",,,,
,"41어2177","20180901223626178","C:\Img\2018\09\01\223626178S_2177.jpg","01","136",,"45(44)",,"1","412177","(317, 574), W:281, H:79","GigE 631164 / 1/500S / Gain 70 /FR 52.0",,,,
,"33가1518","20180902020849872","C:\Img\2018\09\02\020849872S_1518.jpg","01","108",,"47(45)",,"1","331518","(399, 554), W:281, H:75","GigE 631164 / 1/500S / Gain 70 /FR 52.0",,,,
,"미인식","20180902052236909","C:\Img\2018\09\02\052236909S_XXXX.jpg","01","320",,"32(32)","1","1",,,"GigE 631164 / 1/500S / Gain 70 /FR 52.0",,,,
,"64어5185","20180902064420393","C:\Img\2018\09\02\064420393S_5185.jpg","01","62",,"34(34)",,"1","645185","(575, 418), W:257, H:65","GigE 631164 / 1/500S / Gain 70 /FR 52.0",,,,
,"62노2385","20180902064930876","C:\Img\2018\09\02\064930876S_2385.jpg","01","65",,"35(35)",,"1","622385","(535, 524), W:267, H:75","GigE 631164 / 1/500S / Gain 70 /FR 52.0",,,,
,"83무7467","20180902070126972","C:\Img\2018\09\02\070126972S_7467.jpg","01","60",,"27(27)",,"1","837467","(569, 350), W:213, H:71","GigE 631164 / 1/1500S / Gain 70 /FR 52.0",,,,
,"83무7467","20180902073701633","C:\Img\2018\09\02\073701633S_7467.jpg","01","84",,"42(42)",,"1","837467","(601, 384), W:201, H:67","GigE 631164 / 1/1000S / Gain 70 /FR 52.0",,,,
,"84가3826","20180902085204848","C:\Img\2018\09\02\085204848S_3826.jpg","01","55",,"209(209)",,"1","843826","(583, 374), W:197, H:101","GigE 631164 / 1/1000S / Gain 70 /FR 52.0",,,,
,"10나9957","20180902090706593","C:\Img\2018\09\02\090706593S_9957.jpg","01","84",,"52(52)",,"1","109957","(503, 366), W:253, H:65","GigE 631164 / 1/3000S / Gain 70 /FR 52.0",,,,
,"56너5307","20180902094150508","C:\Img\2018\09\02\094150508S_5307.jpg","01","75",,"129(48)",,"1","565307","(519, 412), W:241, H:67","GigE 631164 / 1/3000S / Gain 70 /FR 52.0",,,,
,"38부2729","20180902103543709","C:\Img\2018\09\02\103543709S_2729.jpg","01","243",,"39(39)",,"1","382729","(495, 508), W:247, H:67","GigE 631164 / 1/3000S / Gain 70 /FR 52.0",,,,
,"32어8869","20180902103756258","C:\Img\2018\09\02\103756258S_8869.jpg","01","113",,"48(48)",,"1","328869","(541, 436), W:257, H:63","GigE 631164 / 1/2500S / Gain 70 /FR 52.0",,,,
,"64고9248","20180902105517605","C:\Img\2018\09\02\105517605S_9248.jpg","01","57",,"49(49)",,"1","649248","(569, 426), W:263, H:67","GigE 631164 / 1/2500S / Gain 70 /FR 52.0",,,,
,"미인식","20180902105945096","C:\Img\2018\09\02\105945096S_XXXX.jpg","01","596",,"42(21)","1","1",,,"GigE 631164 / 1/2500S / Gain 70 /FR 52.0",,,,
,"68부3104","20180902110932492","C:\Img\2018\09\02\110932492S_3104.jpg","01","120",,"60(60)",,"1","683104","(561, 442), W:259, H:67","GigE 631164 / 1/2000S / Gain 70 /FR 52.0",,,,
,"66러7243","20180902112020737","C:\Img\2018\09\02\112020737S_7243.jpg","01","84",,"56(56)",,"1","667243","(625, 426), W:257, H:65","GigE 631164 / 1/2000S / Gain 70 /FR 52.0",,,,
,"31우4588","20180902112023598","C:\Img\2018\09\02\112023598S_4588.jpg","01","55",,"54(54)",,"1","314588","(623, 372), W:205, H:67","GigE 631164 / 1/2000S / Gain 70 /FR 52.0",,,,
,"83부1212","20180902114119709","C:\Img\2018\09\02\114119709S_1212.jpg","01","45",,"43(43)",,"1","831212","(489, 298), W:197, H:69","GigE 631164 / 1/2000S / Gain 70 /FR 52.0",,,,
,"82러7892","20180902114124784","C:\Img\2018\09\02\114124784S_7892.jpg","01","69",,"44(44)",,"1","827892","(529, 386), W:265, H:67","GigE 631164 / 1/2000S / Gain 70 /FR 52.0",,,,
,"39어0357","20180902115109773","C:\Img\2018\09\02\115109773S_0357.jpg","01","67",,"53(53)",,"1","390357","(649, 524), W:265, H:69","GigE 631164 / 1/2000S / Gain 70 /FR 52.0",,,,
,"58모1236","20180902115410641","C:\Img\2018\09\02\115410641S_1236.jpg","01","89",,"54(54)",,"1","581236","(551, 454), W:255, H:69","GigE 631164 / 1/2000S / Gain 70 /FR 52.0",,,,
,"45거9737","20180902120528134","C:\Img\2018\09\02\120528134S_9737.jpg","01","58",,"51(51)",,"1","459737","(461, 412), W:263, H:67","GigE 631164 / 1/2000S / Gain 70 /FR 52.0",,,,
,"41버4559","20180902121336133","C:\Img\2018\09\02\121336133S_4559.jpg","01","88",,"53(53)",,"1","414559","(459, 454), W:241, H:65","GigE 631164 / 1/2000S / Gain 70 /FR 52.0",,,,
,"13우7707","20180902121607424","C:\Img\2018\09\02\121607424S_7707.jpg","01","68",,"52(52)",,"1","137707","(583, 446), W:257, H:67","GigE 631164 / 1/2000S / Gain 70 /FR 52.0",,,,
,"32조2521","20180902121859900","C:\Img\2018\09\02\121859900S_2521.jpg","01","131",,"53(53)",,"1","322521","(613, 416), W:243, H:65","GigE 631164 / 1/2000S / Gain 70 /FR 52.0",,,,
,"45거9737","20180902122025445","C:\Img\2018\09\02\122025445S_9737.jpg","01","57",,"45(45)",,"1","459737","(511, 436), W:265, H:67","GigE 631164 / 1/2000S / Gain 70 /FR 52.0",,,,
,"20모7185","20180902122059090","C:\Img\2018\09\02\122059090S_7185.jpg","01","133",,"49(49)",,"1","207185","(479, 440), W:257, H:69","GigE 631164 / 1/2000S / Gain 70 /FR 52.0",,,,
,"41루3975","20180902122721180","C:\Img\2018\09\02\122721180S_3975.jpg","01","50",,"47(47)",,"1","413975","(465, 438), W:257, H:67","GigE 631164 / 1/2000S / Gain 70 /FR 52.0",,,,
,"39두8864","20180902123015767","C:\Img\2018\09\02\123015767S_8864.jpg","01","69",,"43(43)",,"1","398864","(553, 536), W:277, H:75","GigE 631164 / 1/2000S / Gain 70 /FR 52.0",,,,
,"25수1027","20180902123018002","C:\Img\2018\09\02\123018002S_1027.jpg","01","107",,"45(45)",,"1","251027","(479, 508), W:257, H:75","GigE 631164 / 1/2000S / Gain 70 /FR 52.0",,,,
,"49러0494","20180902123022284","C:\Img\2018\09\02\123022284S_0494.jpg","01","67",,"44(44)",,"1","490494","(559, 434), W:205, H:67","GigE 631164 / 1/2000S / Gain 70 /FR 52.0",,,,
,"45거9737","20180902123310008","C:\Img\2018\09\02\123310008S_9737.jpg","01","116",,"81(43)","5","1","459737","(559, 432), W:249, H:63","GigE 631164 / 1/2000S / Gain 70 /FR 52.0",,,,
,"45거9737","20180902124019798","C:\Img\2018\09\02\124019798S_9737.jpg","01","64",,"42(42)",,"1","459737","(529, 448), W:261, H:69","GigE 631164 / 1/2000S / Gain 70 /FR 52.0",,,,
,"47보3881","20180902125816380","C:\Img\2018\09\02\125816380S_3881.jpg","01","104",,"51(51)",,"1","473881","(523, 424), W:243, H:69","GigE 631164 / 1/2000S / Gain 70 /FR 52.0",,,,
,"49머1897","20180902131103241","C:\Img\2018\09\02\131103241S_1897.jpg","01","60",,"45(45)",,"1","491897","(633, 420), W:271, H:67","GigE 631164 / 1/2000S / Gain 70 /FR 52.0",,,,
,"47구3441","20180902131628221","C:\Img\2018\09\02\131628221S_3441.jpg","01","103",,"47(47)",,"1","473441","(555, 488), W:255, H:69","GigE 631164 / 1/2000S / Gain 70 /FR 52.0",,,,
,"60구3155","20180902133722640","C:\Img\2018\09\02\133722640S_3155.jpg","01","76",,"50(50)",,"1","603155","(583, 398), W:257, H:67","GigE 631164 / 1/2000S / Gain 70 /FR 52.0",,,,
,"미인식","20180902133925813","C:\Img\2018\09\02\133925813S_XXXX.jpg","01","325",,"173(134)","1","1",,,"GigE 631164 / 1/2000S / Gain 70 /FR 52.0",,,,
,"46수8798","20180902134019186","C:\Img\2018\09\02\134019186S_8798.jpg","01","87",,"35(35)",,"1","468798","(587, 424), W:259, H:67","GigE 631164 / 1/4000S / Gain 70 /FR 52.0",,,,
,"울산31다7305","20180902134404765","C:\Img\2018\09\02\134404765S_7305.jpg","01","54",,"39(39)","3","1","317305","(604, 427), W:180, H:98","GigE 631164 / 1/3000S / Gain 70 /FR 52.0",,,,
,"53너3449","20180902135250666","C:\Img\2018\09\02\135250666S_3449.jpg","01","151",,"37(37)",,"1","533449","(489, 424), W:249, H:63","GigE 631164 / 1/2500S / Gain 70 /FR 52.0",,,,
,"38부2729","20180902135319089","C:\Img\2018\09\02\135319089S_2729.jpg","01","87",,"71(37)",,"1","382729","(565, 386), W:245, H:61","GigE 631164 / 1/2000S / Gain 70 /FR 52.0",,,,
