일련번호,차량번호,통과시각,파일경로,CODE,인식타임,경차여부,바닥밝기,유효,선택,숫자번호,번호판영역,촬영정보,번호판밝기,전기차,전기차2
,"55가4187","20181101170036724","C:\Img\2018\11\01\170036724S_4187.jpg","01","52",,"13",,"1","554187","(65, 456), W:189, H:83","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"10루3775","20181101170858811","C:\Img\2018\11\01\170858811S_3775.jpg","01","105",,"13",,"1","103775","(157, 488), W:201, H:87","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"49저3350","20181101174612589","C:\Img\2018\11\01\174612589S_3350.jpg","01","61",,"13",,"1","493350","(99, 522), W:211, H:89","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"35어0348","20181101175915629","C:\Img\2018\11\01\175915629S_0348.jpg","01","70",,"12",,"1","350348","(12, 572), W:200, H:95","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"23저9999","20181101181552018","C:\Img\2018\11\01\181552018S_9999.jpg","01","61",,"13",,"1","239999","(491, 482), W:315, H:87","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"미인식","20181101181840943","C:\Img\2018\11\01\181840943S_XXXX.jpg","01","229",,"15","1","1",,,"1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"11하6333","20181101184428401","C:\Img\2018\11\01\184428401S_6333.jpg","01","67",,"11",,"1","116333","(83, 450), W:223, H:87","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"18오6333","20181101184451538","C:\Img\2018\11\01\184451538S_6333.jpg","01","46",,"11",,"1","186333","(549, 404), W:373, H:105","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"02서3085","20181101192749230","C:\Img\2018\11\01\192749230S_3085.jpg","01","56",,"27",,"1","023085","(257, 438), W:257, H:85","1200UM 12430549 / 1/500S / Gain 500 /",,,
,"02오7826","20181101193708083","C:\Img\2018\11\01\193708083S_7826.jpg","01","120",,"23",,"1","027826","(93, 519), W:161, H:130","1200UM 12430549 / 1/500S / Gain 500 /",,,
,"67어9401","20181101203037823","C:\Img\2018\11\01\203037823S_9401.jpg","01","81",,"25",,"1","679401","(39, 520), W:201, H:87","1200UM 12430549 / 1/500S / Gain 500 /",,,
,"30더7841","20181101211015454","C:\Img\2018\11\01\211015454S_7841.jpg","01","72",,"23",,"1","307841","(195, 478), W:237, H:91","1200UM 12430549 / 1/500S / Gain 500 /",,,
,"미인식","20181101211844206","C:\Img\2018\11\01\211844206S_XXXX.jpg","01","242",,"32","1","1",,,"1200UM 12430549 / 1/500S / Gain 500 /",,,
,"84고4931","20181101212358789","C:\Img\2018\11\01\212358789S_4931.jpg","01","129",,"31",,"1","844931","(7, 422), W:161, H:79","1200UM 12430549 / 1/500S / Gain 500 /",,,
,"미인식","20181101214302901","C:\Img\2018\11\01\214302901S_XXXX.jpg","01","165",,"24","1","1",,,"1200UM 12430549 / 1/500S / Gain 500 /",,,
,"30오6242","20181101221345417","C:\Img\2018\11\01\221345417S_6242.jpg","01","82",,"24",,"1","306242","(243, 530), W:209, H:85","1200UM 12430549 / 1/500S / Gain 500 /",,,
,"33하0455","20181101224206232","C:\Img\2018\11\01\224206232S_0455.jpg","01","73",,"22",,"1","330455","(71, 462), W:185, H:81","1200UM 12430549 / 1/500S / Gain 500 /",,,
,"45주8088","20181101224409700","C:\Img\2018\11\01\224409700S_8088.jpg","01","63",,"30",,"1","458088","(33, 566), W:199, H:89","1200UM 12430549 / 1/500S / Gain 500 /",,,
,"20호5608","20181101224625339","C:\Img\2018\11\01\224625339S_5608.jpg","01","58",,"26",,"1","205608","(183, 468), W:243, H:85","1200UM 12430549 / 1/500S / Gain 500 /",,,
,"66부2513","20181101224714364","C:\Img\2018\11\01\224714364S_2513.jpg","01","84",,"25",,"1","662513","(47, 438), W:185, H:81","1200UM 12430549 / 1/500S / Gain 500 /",,,
,"미인식","20181101224737544","C:\Img\2018\11\01\224737544S_XXXX.jpg","01","269",,"29","1","1",,,"1200UM 12430549 / 1/500S / Gain 500 /",,,
,"03조0287","20181101224830656","C:\Img\2018\11\01\224830656S_0287.jpg","01","37",,"24",,"1","030287","(243, 422), W:277, H:93","1200UM 12430549 / 1/500S / Gain 500 /",,,
,"48부5888","20181101225138760","C:\Img\2018\11\01\225138760S_5888.jpg","01","47",,"23",,"1","485888","(325, 456), W:237, H:85","1200UM 12430549 / 1/500S / Gain 500 /",,,
,"01루8454","20181101225219401","C:\Img\2018\11\01\225219401S_8454.jpg","01","72",,"25",,"1","018454","(295, 472), W:261, H:85","1200UM 12430549 / 1/500S / Gain 500 /",,,
,"미인식","20181101225510820","C:\Img\2018\11\01\225510820S_XXXX.jpg","01","496",,"23","1","1",,,"1200UM 12430549 / 1/500S / Gain 500 /",,,
,"미인식","20181102011746917","C:\Img\2018\11\02\011746917S_XXXX.jpg","01","163",,"32","1","1",,,"1200UM 12430549 / 1/500S / Gain 500 /",,,
,"미인식","20181102023358307","C:\Img\2018\11\02\023358307S_XXXX.jpg","01","443",,"23","1","1",,,"1200UM 12430549 / 1/500S / Gain 500 /",,,
,"경기45바5768","20181102040621982","C:\Img\2018\11\02\040621982S_5768.jpg","01","68",,"24",,"1","455768","(405, 468), W:355, H:97","1200UM 12430549 / 1/500S / Gain 500 /",,,
,"18루4130","20181102042631546","C:\Img\2018\11\02\042631546S_4130.jpg","01","62",,"24",,"1","184130","(217, 474), W:241, H:87","1200UM 12430549 / 1/500S / Gain 500 /",,,
,"61어6265","20181102061239157","C:\Img\2018\11\02\061239157S_6265.jpg","01","60",,"25",,"1","616265","(189, 500), W:243, H:85","1200UM 12430549 / 1/500S / Gain 500 /",,,
,"45두9422","20181102062005551","C:\Img\2018\11\02\062005551S_9422.jpg","01","37",,"28",,"1","459422","(321, 524), W:267, H:87","1200UM 12430549 / 1/500S / Gain 500 /",,,
,"서울31아6902","20181102063756381","C:\Img\2018\11\02\063756381S_6902.jpg","01","47",,"25",,"1","316902","(267, 490), W:285, H:89","1200UM 12430549 / 1/500S / Gain 500 /",,,
,"08부4506","20181102063932584","C:\Img\2018\11\02\063932584S_4506.jpg","01","72",,"26",,"1","084506","(275, 480), W:171, H:83","1200UM 12430549 / 1/500S / Gain 500 /",,,
,"65도7648","20181102070723422","C:\Img\2018\11\02\070723422S_7648.jpg","01","92",,"12",,"1","657648","(191, 540), W:267, H:97","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"52부1969","20181102072828678","C:\Img\2018\11\02\072828678S_1969.jpg","01","58",,"14",,"1","521969","(67, 358), W:205, H:91","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"02오7826","20181102080615827","C:\Img\2018\11\02\080615827S_7826.jpg","01","107",,"13",,"1","027826","(57, 513), W:159, H:134","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"72주6277","20181102081016270","C:\Img\2018\11\02\081016270S_6277.jpg","01","84",,"13",,"1","726277","(131, 450), W:207, H:81","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"61어6443","20181102081409831","C:\Img\2018\11\02\081409831S_6443.jpg","01","72",,"15",,"1","616443","(27, 522), W:197, H:85","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"06머7398","20181102081553387","C:\Img\2018\11\02\081553387S_7398.jpg","01","40",,"13",,"1","067398","(151, 436), W:261, H:87","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"49나9105","20181102081728515","C:\Img\2018\11\02\081728515S_9105.jpg","01","92",,"16",,"1","499105","(191, 492), W:219, H:91","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"65마3176","20181102082735361","C:\Img\2018\11\02\082735361S_3176.jpg","01","56",,"14",,"1","653176","(295, 424), W:239, H:81","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"58무0164","20181102083513153","C:\Img\2018\11\02\083513153S_0164.jpg","01","79",,"14",,"1","580164","(221, 456), W:223, H:81","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"83거5260","20181102083706815","C:\Img\2018\11\02\083706815S_5260.jpg","01","47",,"14",,"1","835260","(307, 384), W:207, H:87","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"미인식","20181102084716500","C:\Img\2018\11\02\084716500S_XXXX.jpg","01","163",,"17","1","1",,,"1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"34모1807","20181102092138386","C:\Img\2018\11\02\092138386S_1807.jpg","01","97",,"20",,"1","341807","(117, 508), W:205, H:87","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"06머7398","20181102092442706","C:\Img\2018\11\02\092442706S_7398.jpg","01","52",,"16",,"1","067398","(201, 458), W:289, H:91","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"10누5717","20181102094428145","C:\Img\2018\11\02\094428145S_5717.jpg","01","109",,"21",,"1","105717","(139, 462), W:169, H:85","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"62모5118","20181102100155538","C:\Img\2018\11\02\100155538S_5118.jpg","01","142",,"21",,"1","625118","(363, 460), W:233, H:81","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"12고7123","20181102103822039","C:\Img\2018\11\02\103822039S_7123.jpg","01","43",,"33",,"1","127123","(241, 416), W:279, H:89","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"32노6338","20181102104015729","C:\Img\2018\11\02\104015729S_6338.jpg","01","76",,"39",,"1","326338","(91, 440), W:251, H:91","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"11모9669","20181102111402207","C:\Img\2018\11\02\111402207S_9669.jpg","01","137",,"42",,"1","119669","(55, 456), W:155, H:79","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"66거1168","20181102115020691","C:\Img\2018\11\02\115020691S_1168.jpg","01","93",,"53",,"1","661168","(45, 484), W:177, H:85","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"65저8713","20181102115151193","C:\Img\2018\11\02\115151193S_8713.jpg","01","334",,"61",,"1","658713","(81, 510), W:197, H:93","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"49저3350","20181102120141557","C:\Img\2018\11\02\120141557S_3350.jpg","01","123",,"61",,"1","493350","(195, 484), W:209, H:87","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"66조3068","20181102130953313","C:\Img\2018\11\02\130953313S_3068.jpg","01","51",,"15",,"1","663068","(53, 514), W:245, H:87","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"미인식","20181102132024432","C:\Img\2018\11\02\132024432S_XXXX.jpg","01","242",,"16","1","1",,,"1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"09조5978","20181102133832509","C:\Img\2018\11\02\133832509S_5978.jpg","01","102",,"16",,"1","095978","(259, 500), W:235, H:89","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"미인식","20181102135950198","C:\Img\2018\11\02\135950198S_XXXX.jpg","01","272",,"15","1","1",,,"1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"미인식","20181102140412315","C:\Img\2018\11\02\140412315S_XXXX.jpg","01","466",,"18","1","1",,,"1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"23저9999","20181102140615009","C:\Img\2018\11\02\140615009S_9999.jpg","01","102",,"16",,"1","239999","(387, 484), W:253, H:89","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"미인식","20181102141025558","C:\Img\2018\11\02\141025558S_XXXX.jpg","01","182",,"18","1","1",,,"1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"미인식","20181102141740814","C:\Img\2018\11\02\141740814S_XXXX.jpg","01","189",,"15","1","1",,,"1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"69수3763","20181102141803994","C:\Img\2018\11\02\141803994S_3763.jpg","01","51",,"16",,"1","693763","(325, 510), W:355, H:99","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"55로4382","20181102142145171","C:\Img\2018\11\02\142145171S_4382.jpg","01","117",,"15",,"1","554382","(133, 494), W:251, H:91","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"27보2628","20181102143038780","C:\Img\2018\11\02\143038780S_2628.jpg","01","80",,"14",,"1","272628","(175, 524), W:261, H:85","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"06머7398","20181102144622273","C:\Img\2018\11\02\144622273S_7398.jpg","01","44",,"16",,"1","067398","(267, 430), W:285, H:89","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"61어6443","20181102144951751","C:\Img\2018\11\02\144951751S_6443.jpg","01","62",,"18",,"1","616443","(101, 506), W:215, H:87","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"18루4130","20181102145628777","C:\Img\2018\11\02\145628777S_4130.jpg","01","117",,"18",,"1","184130","(161, 458), W:213, H:83","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"미인식","20181102145757109","C:\Img\2018\11\02\145757109S_XXXX.jpg","01","339",,"22","1","1",,,"1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"03머9128","20181102151240739","C:\Img\2018\11\02\151240739S_9128.jpg","01","101",,"15",,"1","039128","(153, 453), W:185, H:138","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"서울31아6902","20181102151351440","C:\Img\2018\11\02\151351440S_6902.jpg","01","55",,"16",,"1","316902","(265, 502), W:315, H:89","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"미인식","20181102151821427","C:\Img\2018\11\02\151821427S_XXXX.jpg","01","266",,"15","1","1",,,"1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"10누5717","20181102152117232","C:\Img\2018\11\02\152117232S_5717.jpg","01","102",,"18",,"1","105717","(195, 448), W:185, H:81","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"48우0582","20181102153235555","C:\Img\2018\11\02\153235555S_0582.jpg","01","95",,"16",,"1","480582","(89, 554), W:207, H:89","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"61모8170","20181102154813199","C:\Img\2018\11\02\154813199S_8170.jpg","01","87",,"15",,"1","618170","(111, 480), W:211, H:83","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"40서1364","20181102160313687","C:\Img\2018\11\02\160313687S_1364.jpg","01","126",,"13",,"1","401364","(119, 498), W:185, H:91","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"41주1139","20181102161040340","C:\Img\2018\11\02\161040340S_1139.jpg","01","62",,"13",,"1","411139","(77, 402), W:151, H:79","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"미인식","20181102163058550","C:\Img\2018\11\02\163058550S_XXXX.jpg","01","191",,"13","1","1",,,"1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"25구5309","20181102163248687","C:\Img\2018\11\02\163248687S_5309.jpg","01","134",,"13",,"1","255309","(199, 500), W:207, H:81","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"미인식","20181102164856177","C:\Img\2018\11\02\164856177S_XXXX.jpg","01","196",,"17","1","1",,,"1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"58로8086","20181102165404309","C:\Img\2018\11\02\165404309S_8086.jpg","01","91",,"13",,"1","588086","(197, 478), W:219, H:87","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"미인식","20181102171651706","C:\Img\2018\11\02\171651706S_XXXX.jpg","01","163",,"11","1","1",,,"1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"20머6373","20181102174813874","C:\Img\2018\11\02\174813874S_6373.jpg","01","94",,"12",,"1","206373","(23, 552), W:209, H:95","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"서울31자7928","20181102175825323","C:\Img\2018\11\02\175825323S_7928.jpg","01","62",,"12",,"1","317928","(208, 454), W:272, H:87","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"06머7398","20181102180835912","C:\Img\2018\11\02\180835912S_7398.jpg","01","52",,"12",,"1","067398","(121, 482), W:319, H:97","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"13허7411","20181102181436812","C:\Img\2018\11\02\181436812S_7411.jpg","01","65",,"14",,"1","137411","(129, 516), W:193, H:85","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"미인식","20181102182905648","C:\Img\2018\11\02\182905648S_XXXX.jpg","01","136",,"15","1","1",,,"1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"17머5562","20181102192704860","C:\Img\2018\11\02\192704860S_5562.jpg","01","107",,"23",,"1","175562","(115, 481), W:159, H:142","1200UM 12430549 / 1/500S / Gain 500 /",,,
,"57주0393","20181102193125428","C:\Img\2018\11\02\193125428S_0393.jpg","01","62",,"29",,"1","570393","(173, 532), W:205, H:91","1200UM 12430549 / 1/500S / Gain 500 /",,,
,"55호7067","20181102193205251","C:\Img\2018\11\02\193205251S_7067.jpg","01","70",,"24",,"1","557067","(157, 508), W:221, H:85","1200UM 12430549 / 1/500S / Gain 500 /",,,
,"02서3085","20181102193841243","C:\Img\2018\11\02\193841243S_3085.jpg","01","45",,"30",,"1","023085","(337, 416), W:265, H:85","1200UM 12430549 / 1/500S / Gain 500 /",,,
,"66조3068","20181102202035804","C:\Img\2018\11\02\202035804S_3068.jpg","01","58",,"23",,"1","663068","(147, 506), W:267, H:89","1200UM 12430549 / 1/500S / Gain 500 /",,,
,"48버0271","20181102204210477","C:\Img\2018\11\02\204210477S_0271.jpg","01","76",,"25",,"1","480271","(249, 464), W:195, H:85","1200UM 12430549 / 1/500S / Gain 500 /",,,
,"17러9255","20181102210340721","C:\Img\2018\11\02\210340721S_9255.jpg","01","78",,"26",,"1","179255","(281, 512), W:247, H:89","1200UM 12430549 / 1/500S / Gain 500 /",,,
,"미인식","20181102210634076","C:\Img\2018\11\02\210634076S_XXXX.jpg","01","143",,"23","1","1",,,"1200UM 12430549 / 1/500S / Gain 500 /",,,
,"12보1238","20181102214923081","C:\Img\2018\11\02\214923081S_1238.jpg","01","91",,"28",,"1","121238","(43, 550), W:195, H:93","1200UM 12430549 / 1/500S / Gain 500 /",,,
,"13허7411","20181102225542443","C:\Img\2018\11\02\225542443S_7411.jpg","01","52",,"27",,"1","137411","(197, 508), W:207, H:87","1200UM 12430549 / 1/500S / Gain 500 /",,,
,"18루4130","20181103053511029","C:\Img\2018\11\03\053511029S_4130.jpg","01","83",,"24",,"1","184130","(207, 472), W:231, H:85","1200UM 12430549 / 1/500S / Gain 500 /",,,
,"서울46머9281","20181103054337072","C:\Img\2018\11\03\054337072S_9281.jpg","01","80",,"22",,"1","469281","(343, 453), W:183, H:138","1200UM 12430549 / 1/500S / Gain 500 /",,,
,"45두9422","20181103060518883","C:\Img\2018\11\03\060518883S_9422.jpg","01","34",,"28",,"1","459422","(301, 530), W:273, H:89","1200UM 12430549 / 1/500S / Gain 500 /",,,
,"50거6173","20181103060602447","C:\Img\2018\11\03\060602447S_6173.jpg","01","53",,"26",,"1","506173","(215, 460), W:235, H:85","1200UM 12430549 / 1/500S / Gain 500 /",,,
