일련번호,차량번호,통과시각,파일경로,CODE,인식타임,경차여부,바닥밝기,유효,선택,숫자번호
,"14허8456","20181104143735005","C:\Img\2018\11\04\143735005S_8456.jpg","01","58",,"4",,"1","148456"
,"10허5004","20181104144000974","C:\Img\2018\11\04\144000974S_5004.jpg","01","75",,"4",,"1","105004"
,"14허8456","20181104144047661","C:\Img\2018\11\04\144047661S_8456.jpg","01","81",,"4",,"1","148456"
,"45수6063","20181104154429036","C:\Img\2018\11\04\154429036S_6063.jpg","01","73",,"4",,"1","456063"
,"24조1284","20181104155510411","C:\Img\2018\11\04\155510411S_1284.jpg","01","60",,"4",,"1","241284"
,"51머0725","20181104155821036","C:\Img\2018\11\04\155821036S_0725.jpg","01","62",,"3",,"1","510725"
,"65도1042","20181104155835552","C:\Img\2018\11\04\155835552S_1042.jpg","01","46",,"4",,"1","651042"
,"42노6066","20181104155919833","C:\Img\2018\11\04\155919833S_6066.jpg","01","72",,"4",,"1","426066"
,"20하7069","20181104162032177","C:\Img\2018\11\04\162032177S_7069.jpg","01","61",,"3",,"1","207069"
,"20하9061","20181104183449989","C:\Img\2018\11\04\183449989S_9061.jpg","01","58",,"4",,"1","209061"
,"51루7716","20181104183929520","C:\Img\2018\11\04\183929520S_7716.jpg","01","81",,"3",,"1","517716"
,"07라3663","20181104184113317","C:\Img\2018\11\04\184113317S_3663.jpg","01","71",,"4",,"1","073663"
,"20하8307","20181104194853989","C:\Img\2018\11\04\194853989S_8307.jpg","01","71",,"5",,"1","208307"
,"08허5566","20181105075658093","C:\Img\2018\11\05\075658093S_5566.jpg","01","68",,"3",,"1","085566"
,"미인식","20181105075705562","C:\Img\2018\11\05\075705562S_XXXX.jpg","01","66",,"1","1","1",
,"07라3663","20181105093334500","C:\Img\2018\11\05\093334500S_3663.jpg","01","76",,"5",,"1","073663"
,"18호6695","20181105093632906","C:\Img\2018\11\05\093632906S_6695.jpg","01","55",,"3",,"1","186695"
,"63호8454","20181105094355781","C:\Img\2018\11\05\094355781S_8454.jpg","01","61",,"5",,"1","638454"
,"29오7323","20181105101143656","C:\Img\2018\11\05\101143656S_7323.jpg","01","55",,"4",,"1","297323"
,"38가1888","20181105112119125","C:\Img\2018\11\05\112119125S_1888.jpg","01","51",,"3",,"1","381888"
,"46하4239","20181105112809265","C:\Img\2018\11\05\112809265S_4239.jpg","01","79",,"5",,"1","464239"
,"04호9586","20181105113141171","C:\Img\2018\11\05\113141171S_9586.jpg","01","52",,"3",,"1","049586"
,"45수6063","20181105114204531","C:\Img\2018\11\05\114204531S_6063.jpg","01","75",,"3",,"1","456063"
,"42무1452","20181105115111468","C:\Img\2018\11\05\115111468S_1452.jpg","01","66",,"3",,"1","421452"
,"97거0686","20181105115645156","C:\Img\2018\11\05\115645156S_0686.jpg","01","68",,"4",,"1","970686"
,"70호3393","20181105120251140","C:\Img\2018\11\05\120251140S_3393.jpg","01","69",,"4",,"1","703393"
,"66조3422","20181105120334296","C:\Img\2018\11\05\120334296S_3422.jpg","01","62",,"4",,"1","663422"
,"35우2622","20181105122745187","C:\Img\2018\11\05\122745187S_2622.jpg","01","45",,"3",,"1","352622"
,"36마3366","20181105124956656","C:\Img\2018\11\05\124956656S_3366.jpg","01","59",,"4",,"1","363366"
,"60라1078","20181105125723281","C:\Img\2018\11\05\125723281S_1078.jpg","01","82",,"3",,"1","601078"
,"01고0279","20181105130431656","C:\Img\2018\11\05\130431656S_0279.jpg","01","49",,"3",,"1","010279"
,"53보3941","20181105130839234","C:\Img\2018\11\05\130839234S_3941.jpg","01","81",,"4",,"1","533941"
,"08호2556","20181105130847218","C:\Img\2018\11\05\130847218S_2556.jpg","01","59",,"6",,"1","082556"
,"07라3663","20181105132201890","C:\Img\2018\11\05\132201890S_3663.jpg","01","106",,"5",,"1","073663"
,"67수6782","20181105132438062","C:\Img\2018\11\05\132438062S_6782.jpg","01","54",,"3",,"1","676782"
,"42루7501","20181105132837734","C:\Img\2018\11\05\132837734S_7501.jpg","01","93",,"4",,"1","427501"
,"37나9561","20181105133601125","C:\Img\2018\11\05\133601125S_9561.jpg","01","49",,"4",,"1","379561"
,"62호1591","20181105134023296","C:\Img\2018\11\05\134023296S_1591.jpg","01","49",,"4",,"1","621591"
,"45수6063","20181105140014359","C:\Img\2018\11\05\140014359S_6063.jpg","01","66",,"4",,"1","456063"
,"01고0279","20181105141650968","C:\Img\2018\11\05\141650968S_0279.jpg","01","58",,"3",,"1","010279"
,"46하7953","20181105141959062","C:\Img\2018\11\05\141959062S_7953.jpg","01","73",,"4",,"1","467953"
,"29호3384","20181105144603593","C:\Img\2018\11\05\144603593S_3384.jpg","01","84",,"4",,"1","293384"
,"미인식","20181105144812015","C:\Img\2018\11\05\144812015S_XXXX.jpg","01","0",,"3","1","1",
,"18호1551","20181105145445171","C:\Img\2018\11\05\145445171S_1551.jpg","01","96",,"4",,"1","181551"
,"39보8578","20181105150500578","C:\Img\2018\11\05\150500578S_8578.jpg","01","46",,"3",,"1","398578"
,"37노3946","20181105153100671","C:\Img\2018\11\05\153100671S_3946.jpg","01","68",,"5",,"1","373946"
,"14허5747","20181105154853156","C:\Img\2018\11\05\154853156S_5747.jpg","01","101",,"3",,"1","145747"
,"07라3663","20181105161829953","C:\Img\2018\11\05\161829953S_3663.jpg","01","225",,"4",,"1","073663"
,"XXXX3943","20181105162033531","C:\Img\2018\11\05\162033531S_3943.jpg","01","145",,"3","1","1","3943"
,"06나1642","20181105162556046","C:\Img\2018\11\05\162556046S_1642.jpg","01","105",,"4",,"1","061642"
,"67수6782","20181105165942718","C:\Img\2018\11\05\165942718S_6782.jpg","01","68",,"3",,"1","676782"
,"66조3422","20181105171641343","C:\Img\2018\11\05\171641343S_3422.jpg","01","96",,"7",,"1","663422"
,"04거4994","20181105173225296","C:\Img\2018\11\05\173225296S_4994.jpg","01","58",,"3",,"1","044994"
,"46부1157","20181105174132953","C:\Img\2018\11\05\174132953S_1157.jpg","01","66",,"3",,"1","461157"
,"10허5004","20181105175505890","C:\Img\2018\11\05\175505890S_5004.jpg","01","68",,"4",,"1","105004"
,"38가1888","20181105180403781","C:\Img\2018\11\05\180403781S_1888.jpg","01","64",,"3",,"1","381888"
,"01고0279","20181105180826031","C:\Img\2018\11\05\180826031S_0279.jpg","01","53",,"3",,"1","010279"
,"07라3663","20181105181703687","C:\Img\2018\11\05\181703687S_3663.jpg","01","126",,"4",,"1","073663"
,"07도0507","20181105181924734","C:\Img\2018\11\05\181924734S_0507.jpg","01","58",,"3",,"1","070507"
,"18모4893","20181105182109437","C:\Img\2018\11\05\182109437S_4893.jpg","01","69",,"4",,"1","184893"
,"36마3366","20181105182723046","C:\Img\2018\11\05\182723046S_3366.jpg","01","69",,"4",,"1","363366"
,"27호2039","20181105183706593","C:\Img\2018\11\05\183706593S_2039.jpg","01","77",,"5",,"1","272039"
,"39보8578","20181105184208843","C:\Img\2018\11\05\184208843S_8578.jpg","01","61",,"3",,"1","398578"
,"63라0270","20181105185020375","C:\Img\2018\11\05\185020375S_0270.jpg","01","81",,"4",,"1","630270"
,"12라0587","20181105185053546","C:\Img\2018\11\05\185053546S_0587.jpg","01","100",,"5",,"1","120587"
,"38너1787","20181105190231421","C:\Img\2018\11\05\190231421S_1787.jpg","01","69",,"5",,"1","381787"
,"07나0112","20181105190625609","C:\Img\2018\11\05\190625609S_0112.jpg","01","80",,"5",,"1","070112"
,"35누7523","20181105191328812","C:\Img\2018\11\05\191328812S_7523.jpg","01","82",,"6",,"1","357523"
,"11노3534","20181105191341250","C:\Img\2018\11\05\191341250S_3534.jpg","01","84",,"7",,"1","113534"
,"13소9704","20181105191517531","C:\Img\2018\11\05\191517531S_9704.jpg","01","83",,"6",,"1","139704"
,"55나6209","20181105191606109","C:\Img\2018\11\05\191606109S_6209.jpg","01","68",,"6",,"1","556209"
,"64노4405","20181105191628750","C:\Img\2018\11\05\191628750S_4405.jpg","01","79",,"5",,"1","644405"
,"24조1284","20181105192347062","C:\Img\2018\11\05\192347062S_1284.jpg","01","55",,"6",,"1","241284"
,"42무1452","20181105192620046","C:\Img\2018\11\05\192620046S_1452.jpg","01","82",,"6",,"1","421452"
,"14가7137","20181105193428984","C:\Img\2018\11\05\193428984S_7137.jpg","01","72",,"7",,"1","147137"
,"06구8712","20181105193536921","C:\Img\2018\11\05\193536921S_8712.jpg","01","60",,"8",,"1","068712"
,"03서1310","20181105194104234","C:\Img\2018\11\05\194104234S_1310.jpg","01","57",,"5",,"1","031310"
,"71하8954","20181105194334015","C:\Img\2018\11\05\194334015S_8954.jpg","01","77",,"8",,"1","718954"
,"19도2992","20181105194512562","C:\Img\2018\11\05\194512562S_2992.jpg","01","84",,"5",,"1","192992"
,"40너3690","20181105194609671","C:\Img\2018\11\05\194609671S_3690.jpg","01","87",,"7",,"1","403690"
,"01우1448","20181105200249718","C:\Img\2018\11\05\200249718S_1448.jpg","01","81",,"7",,"1","011448"
,"61고5104","20181105200824328","C:\Img\2018\11\05\200824328S_5104.jpg","01","107",,"6",,"1","615104"
,"13버5875","20181105204325437","C:\Img\2018\11\05\204325437S_5875.jpg","01","78",,"7",,"1","135875"
,"16마5241","20181105205602281","C:\Img\2018\11\05\205602281S_5241.jpg","01","59",,"7",,"1","165241"
,"12구4312","20181105213721671","C:\Img\2018\11\05\213721671S_4312.jpg","01","65",,"9",,"1","124312"
,"07라3663","20181105221838671","C:\Img\2018\11\05\221838671S_3663.jpg","01","112",,"6",,"1","073663"
,"35보1516","20181106004951765","C:\Img\2018\11\06\004951765S_1516.jpg","01","111",,"6",,"1","351516"
,"64호4603","20181106074458421","C:\Img\2018\11\06\074458421S_4603.jpg","01","90",,"4",,"1","644603"
,"69호1682","20181106091630312","C:\Img\2018\11\06\091630312S_1682.jpg","01","63",,"3",,"1","691682"
,"07라3663","20181106092242328","C:\Img\2018\11\06\092242328S_3663.jpg","01","73",,"4",,"1","073663"
,"66하8055","20181106093549921","C:\Img\2018\11\06\093549921S_8055.jpg","01","70",,"3",,"1","668055"
