일련번호,차량번호,통과시각,파일경로,CODE,인식타임,경차여부,바닥밝기,유효,선택,숫자번호,번호판영역,촬영정보,번호판밝기,전기차,전기차2,번호판밝기2,영상선택
,"07도2341","20181220141002167","C:\Img\2018\12\20\141002167S_2341.jpg","01","85",,"55(38)",,"1","072341","(125, 468), W:233, H:109","GigE 1393756 / 1/1000S / Gain 70 /FR 52.0","149(060/200)",,,"099(042/132)","1"
,"07도2341","20181220141011308","C:\Img\2018\12\20\141011308S_2341.jpg","02","141",,"70(70)",,"1","072341","(219, 334), W:325, H:101","GigE 1543846 / 1/1500S / Gain 70 /FR 52.0","187(069/239)",,,"177(068/226)","2"
,"34노6642","20181220141206728","C:\Img\2018\12\20\141206728S_6642.jpg","01","161",,"37(37)",,"1","346642","(607, 670), W:419, H:93","GigE 1393756 / 1/1000S / Gain 70 /FR 52.0","195(046/250)",,,"196(046/250)","2"
,"34노6642","20181220141211623","C:\Img\2018\12\20\141211623S_6642.jpg","02","114",,"67(67)",,"1","346642","(295, 332), W:327, H:97","GigE 1543846 / 1/1500S / Gain 70 /FR 52.0","189(062/244)",,,"181(064/231)","2"
,"36머5048","20181220141330841","C:\Img\2018\12\20\141330841S_5048.jpg","01","112",,"43(40)",,"1","365048","(179, 384), W:257, H:101","GigE 1393756 / 1/1000S / Gain 70 /FR 52.0","118(045/157)",,,"114(044/151)","1"
,"36머5048","20181220141336765","C:\Img\2018\12\20\141336765S_5048.jpg","02","139",,"66(66)",,"1","365048","(191, 180), W:365, H:101","GigE 1543846 / 1/1500S / Gain 70 /FR 52.0","177(063/232)",,,"167(062/219)","2"
,"29루8524","20181220141340040","C:\Img\2018\12\20\141340040S_8524.jpg","01","118",,"51(51)",,"1","298524","(385, 570), W:349, H:95","GigE 1393756 / 1/700S / Gain 70 /FR 52.0","173(054/220)",,,"202(064/250)","2"
,"29루8524","20181220141344741","C:\Img\2018\12\20\141344741S_8524.jpg","02","104",,"72(72)",,"1","298524","(325, 346), W:325, H:99","GigE 1543846 / 1/1500S / Gain 70 /FR 52.0","195(074/248)",,,"189(073/243)","2"
,"52가6476","20181220141508615","C:\Img\2018\12\20\141508615S_6476.jpg","01","178",,"50(45)",,"1","526476","(361, 544), W:327, H:103","GigE 1393756 / 1/700S / Gain 70 /FR 52.0","201(063/250)",,,"198(061/250)","1"
,"52가6476","20181220141514580","C:\Img\2018\12\20\141514580S_6476.jpg","02","88",,"66(66)",,"1","526476","(279, 354), W:335, H:93","GigE 1543846 / 1/1500S / Gain 70 /FR 52.0","201(067/248)",,,"198(068/245)","2"
,"66러2111","20181220141553363","C:\Img\2018\12\20\141553363S_2111.jpg","01","146",,"56(52)",,"1","662111","(389, 496), W:335, H:93","GigE 1393756 / 1/700S / Gain 70 /FR 52.0","207(051/251)",,,"207(051/251)","1"
,"66러2111","20181220141558597","C:\Img\2018\12\20\141558597S_2111.jpg","02","96",,"65(65)",,"1","662111","(237, 320), W:333, H:99","GigE 1543846 / 1/1500S / Gain 70 /FR 52.0","190(075/238)",,,"178(073/221)","2"
,"55소1845","20181220141911027","C:\Img\2018\12\20\141911027S_1845.jpg","01","185",,"52(35)",,"1","551845","(285, 532), W:259, H:107","GigE 1393756 / 1/1000S / Gain 70 /FR 52.0","166(057/223)",,,"111(040/151)","1"
,"55소1845","20181220141915674","C:\Img\2018\12\20\141915674S_1845.jpg","02","66",,"67(67)",,"1","551845","(211, 640), W:327, H:117","GigE 1543846 / 1/1500S / Gain 70 /FR 52.0","157(060/237)",,,"156(060/225)","2"
,"02저0185","20181220142653540","C:\Img\2018\12\20\142653540S_0185.jpg","01","104",,"37(34)",,"1","020185","(469, 520), W:387, H:91","GigE 1393756 / 1/1000S / Gain 70 /FR 52.0","189(058/242)",,,"178(057/235)","1"
,"02저0185","20181220142658189","C:\Img\2018\12\20\142658189S_0185.jpg","02","83",,"63(63)",,"1","020185","(367, 570), W:333, H:107","GigE 1543846 / 1/1500S / Gain 70 /FR 52.0","181(069/248)",,,"185(072/247)","2"
,"55서4830","20181220142829720","C:\Img\2018\12\20\142829720S_4830.jpg","01","98",,"42(37)",,"1","554830","(129, 524), W:215, H:105","GigE 1393756 / 1/1000S / Gain 70 /FR 52.0","099(043/132)",,,"095(042/127)","1"
,"55서4830","20181220142834958","C:\Img\2018\12\20\142834958S_4830.jpg","02","75",,"68(68)",,"1","554830","(191, 674), W:343, H:115","GigE 1543846 / 1/1500S / Gain 70 /FR 52.0","148(058/223)",,,"144(057/208)","2"
,"45주2256","20181220142842773","C:\Img\2018\12\20\142842773S_2256.jpg","01","110",,"41(39)",,"1","452256","(101, 490), W:215, H:107","GigE 1393756 / 1/1000S / Gain 70 /FR 52.0","087(038/116)",,,"085(037/113)","1"
,"45주2256","20181220142850335","C:\Img\2018\12\20\142850335S_2256.jpg","02","59",,"62(62)",,"1","452256","(269, 230), W:355, H:103","GigE 1543846 / 1/1500S / Gain 70 /FR 52.0","193(071/247)",,,"185(068/239)","2"
,"전북88가3582","20181220142942712","C:\Img\2018\12\20\142942712S_3582.jpg","01","109",,"41(37)",,"1","883582","(461, 620), W:241, H:127","GigE 1393756 / 1/1000S / Gain 70 /FR 52.0","085(066/167)",,,"081(063/161)","1"
,"전북88가3582","20181220142948244","C:\Img\2018\12\20\142948244S_3582.jpg","02","169",,"60(60)","5","1","883582","(624, 492), W:220, H:127","GigE 1543846 / 1/1500S / Gain 70 /FR 52.0","114(082/197)",,,"111(080/193)","2"
,"54노4239","20181220143046777","C:\Img\2018\12\20\143046777S_4239.jpg","01","162",,"43(39)",,"1","544239","(301, 514), W:249, H:107","GigE 1393756 / 1/1000S / Gain 70 /FR 52.0","118(043/153)",,,"115(042/153)","1"
,"41우4939","20181220143054106","C:\Img\2018\12\20\143054106S_4939.jpg","01","79",,"40(37)",,"1","414939","(169, 450), W:239, H:103","GigE 1393756 / 1/1000S / Gain 70 /FR 52.0","110(044/141)",,,"107(043/137)","1"
,"54노4239","20181220143056044","C:\Img\2018\12\20\143056044S_4239.jpg","02","78",,"61(61)",,"1","544239","(343, 622), W:333, H:105","GigE 1543846 / 1/1500S / Gain 70 /FR 52.0","188(062/249)",,,"192(064/249)","2"
,"41우4939","20181220143112929","C:\Img\2018\12\20\143112929S_4939.jpg","02","86",,"60(60)",,"1","414939","(375, 288), W:345, H:93","GigE 1543846 / 1/1500S / Gain 70 /FR 52.0","202(068/250)",,,"201(070/249)","2"
,"32고9117","20181220143114808","C:\Img\2018\12\20\143114808S_9117.jpg","01","192",,"40(37)",,"1","329117","(313, 554), W:261, H:115","GigE 1393756 / 1/1000S / Gain 70 /FR 52.0","112(042/148)",,,"108(041/145)","1"
,"32고9117","20181220143122136","C:\Img\2018\12\20\143122136S_9117.jpg","02","80",,"65(65)",,"1","329117","(249, 358), W:335, H:99","GigE 1543846 / 1/1500S / Gain 70 /FR 52.0","185(067/237)",,,"177(065/228)","2"
,"65호9430","20181220143443398","C:\Img\2018\12\20\143443398S_9430.jpg","01","84",,"44(44)",,"1","659430","(529, 628), W:371, H:111","GigE 1393756 / 1/1000S / Gain 70 /FR 52.0","182(059/235)",,,"176(061/231)","2"
,"65호9430","20181220143449315","C:\Img\2018\12\20\143449315S_9430.jpg","02","68",,"65(65)",,"1","659430","(233, 344), W:333, H:103","GigE 1543846 / 1/1500S / Gain 70 /FR 52.0","195(078/246)",,,"185(077/234)","2"
,"45누5180","20181220143454978","C:\Img\2018\12\20\143454978S_5180.jpg","01","147",,"39(37)",,"1","455180","(681, 542), W:403, H:89","GigE 1393756 / 1/1000S / Gain 70 /FR 52.0","195(053/249)",,,"194(052/249)","1"
,"45누5180","20181220143503021","C:\Img\2018\12\20\143503021S_5180.jpg","02","109",,"56(56)",,"1","455180","(601, 350), W:217, H:101","GigE 1543846 / 1/1500S / Gain 70 /FR 52.0","191(076/238)",,,"192(078/238)","2"
,"미인식","20181220143614738","C:\Img\2018\12\20\143614738S_XXXX.jpg","01","273",,"32(32)","1","1",,,"GigE 1393756 / 1/1000S / Gain 70 /FR 52.0","063(034/080)",,,,"2"
,"18가4537","20181220143621392","C:\Img\2018\12\20\143621392S_4537.jpg","02","93",,"69(65)",,"1","184537","(115, 400), W:345, H:133","GigE 1543846 / 1/1500S / Gain 70 /FR 52.0","167(067/218)",,,"154(064/199)","1"
,"54소1961","20181220143749129","C:\Img\2018\12\20\143749129S_1961.jpg","01","117",,"33(31)",,"1","541961","(351, 546), W:315, H:103","GigE 1393756 / 1/1000S / Gain 70 /FR 52.0","133(047/163)",,,"124(045/153)","1"
,"54소1961","20181220143753922","C:\Img\2018\12\20\143753922S_1961.jpg","02","78",,"67(59)",,"1","541961","(183, 382), W:347, H:119","GigE 1543846 / 1/1500S / Gain 70 /FR 52.0","182(070/235)",,,"169(068/219)","1"
,"47머0605","20181220143851721","C:\Img\2018\12\20\143851721S_0605.jpg","01","93",,"38(38)",,"1","470605","(333, 520), W:377, H:89","GigE 1393756 / 1/700S / Gain 70 /FR 52.0","148(046/204)",,,"180(054/240)","2"
,"47머0605","20181220143858639","C:\Img\2018\12\20\143858639S_0605.jpg","02","68",,"54(54)",,"1","470605","(353, 282), W:337, H:103","GigE 1543846 / 1/1500S / Gain 70 /FR 52.0","192(063/247)",,,"189(063/244)","2"
,"01거9316","20181220144427301","C:\Img\2018\12\20\144427301S_9316.jpg","01","87",,"40(39)",,"1","019316","(505, 570), W:373, H:83","GigE 1393756 / 1/700S / Gain 70 /FR 52.0","191(048/248)",,,"189(049/247)","1"
,"01거9316","20181220144435676","C:\Img\2018\12\20\144435676S_9316.jpg","02","176",,"50(50)",,"1","019316","(571, 284), W:331, H:91","GigE 1543846 / 1/1500S / Gain 70 /FR 52.0","201(070/251)",,,"199(067/250)","2"
,"94누9850","20181220144441334","C:\Img\2018\12\20\144441334S_9850.jpg","01","124",,"39(38)",,"1","949850","(273, 370), W:221, H:103","GigE 1393756 / 1/700S / Gain 70 /FR 52.0","130(045/166)",,,"126(044/160)","1"
,"94누9850","20181220144447546","C:\Img\2018\12\20\144447546S_9850.jpg","02","341",,"53(53)",,"1","949850","(485, 550), W:259, H:103","GigE 1543846 / 1/1500S / Gain 70 /FR 52.0","185(088/231)",,,"179(087/223)","2"
,"54더3739","20181220144617247","C:\Img\2018\12\20\144617247S_3739.jpg","01","81",,"38(37)",,"1","543739","(473, 570), W:377, H:91","GigE 1393756 / 1/700S / Gain 70 /FR 52.0","194(053/249)",,,"192(052/246)","1"
,"54더3739","20181220144621587","C:\Img\2018\12\20\144621587S_3739.jpg","02","136",,"59(59)",,"1","543739","(63, 360), W:347, H:113","GigE 1543846 / 1/1500S / Gain 70 /FR 52.0","159(060/207)",,,"142(057/185)","2"
,"32로1432","20181220144923400","C:\Img\2018\12\20\144923400S_1432.jpg","01","105",,"38(36)",,"1","321432","(571, 530), W:387, H:89","GigE 1393756 / 1/700S / Gain 70 /FR 52.0","196(061/251)",,,"190(058/248)","1"
,"32로1432","20181220144928689","C:\Img\2018\12\20\144928689S_1432.jpg","02","105",,"84(84)",,"1","321432","(195, 574), W:271, H:131","GigE 1543846 / 1/1000S / Gain 70 /FR 52.0","102(055/151)",,,"133(071/196)","2"
,"52다3973","20181220145145149","C:\Img\2018\12\20\145145149S_3973.jpg","01","133",,"37(35)",,"1","523973","(189, 492), W:249, H:111","GigE 1393756 / 1/700S / Gain 70 /FR 52.0","097(036/131)",,,"095(036/129)","1"
,"52가3973","20181220145151471","C:\Img\2018\12\20\145151471S_3973.jpg","02","217",,"77(71)",,"1","523973","(369, 560), W:211, H:131","GigE 1543846 / 1/1000S / Gain 70 /FR 52.0","158(055/247)",,,"157(059/245)","3"
,"41우1309","20181220145256081","C:\Img\2018\12\20\145256081S_1309.jpg","01","107",,"36(34)",,"1","411309","(337, 536), W:327, H:99","GigE 1393756 / 1/700S / Gain 70 /FR 52.0","169(054/211)",,,"153(051/195)","1"
,"41우1309","20181220145301790","C:\Img\2018\12\20\145301790S_1309.jpg","02","63",,"72(72)",,"1","411309","(291, 358), W:337, H:93","GigE 1543846 / 1/1000S / Gain 70 /FR 52.0","214(094/251)",,,"214(095/251)","2"
,"66머9844","20181220145310285","C:\Img\2018\12\20\145310285S_9844.jpg","01","159",,"37(36)",,"1","669844","(347, 520), W:317, H:95","GigE 1393756 / 1/700S / Gain 70 /FR 52.0","158(047/204)",,,"152(046/197)","1"
,"66머9844","20181220145316419","C:\Img\2018\12\20\145316419S_9844.jpg","02","95",,"64(50)",,"1","669844","(327, 396), W:347, H:103","GigE 1543846 / 1/1500S / Gain 70 /FR 52.0","198(070/250)",,,"170(060/223)","1"
,"34너0282","20181220145423813","C:\Img\2018\12\20\145423813S_0282.jpg","01","67",,"40(40)",,"1","340282","(597, 684), W:399, H:95","GigE 1393756 / 1/700S / Gain 70 /FR 52.0","196(056/251)",,,"198(058/251)","2"
,"34너0282","20181220145429404","C:\Img\2018\12\20\145429404S_0282.jpg","02","85",,"52(52)",,"1","340282","(129, 388), W:347, H:109","GigE 1543846 / 1/1500S / Gain 70 /FR 52.0","161(074/217)",,,"144(060/186)","2"
,"23구5824","20181220145433487","C:\Img\2018\12\20\145433487S_5824.jpg","01","151",,"38(28)",,"1","235824","(223, 488), W:267, H:105","GigE 1393756 / 1/1000S / Gain 70 /FR 52.0","091(036/125)",,,"063(028/086)","1"
,"23구5824","20181220145438094","C:\Img\2018\12\20\145438094S_5824.jpg","02","110",,"73(73)",,"1","235824","(259, 320), W:253, H:95","GigE 1543846 / 1/1000S / Gain 70 /FR 52.0","163(058/213)",,,"186(070/240)","2"
,"01모9046","20181220145440747","C:\Img\2018\12\20\145440747S_9046.jpg","01","104",,"37(37)",,"1","019046","(395, 569), W:219, H:130","GigE 1393756 / 1/700S / Gain 70 /FR 52.0","052(031/107)",,,"070(039/151)","2"
,"01모9046","20181220145450152","C:\Img\2018\12\20\145450152S_9046.jpg","02","86",,"63(63)",,"1","019046","(665, 400), W:253, H:127","GigE 1543846 / 1/1000S / Gain 70 /FR 52.0","134(077/246)",,,"132(075/247)","2"
,"10주7427","20181220150140273","C:\Img\2018\12\20\150140273S_7427.jpg","01","113",,"40(38)",,"1","107427","(285, 516), W:253, H:101","GigE 1393756 / 1/700S / Gain 70 /FR 52.0","113(043/143)",,,"112(043/142)","1"
